Order	Port	Parameter Assignment	Word	SubF	Supf	MSB	LSB
241	B 25	28 VDC BUS	1	2	89	0	0
245	B 29	28 VDC SW HOT BAT BUS S 1	90	0	0	2	2
255	B 35	ENGINE 1	301	0	0	1	1
261	B 38	HYD SYS A ENG - 1	190	0	0	1	1
312	B 89	FLEET IDENT LSB + 1	499	1	15	2	2
316	B 93	A/C NUMBER LSB + 1	499	1	16	2	2
1	A 1	VERTICAL ACCELERATION	2	0	0	12	1
238	B 22	28 VDC STDBY BUS SECT 2	406	0	0	1	1
239	B 23	28 VDC BAT BUS SECT 2	406	0	0	2	2
240	B 24	28 VDC BUS	2	3	89	0	0
256	B 36	ENGINE 2	301	0	0	2	2
262	B 39	HYD SYS B ENG - 2	191	0	0	1	1
301	B 75	115 VAC STDBY BUS SECT 2	236	0	0	1	1
302	B 76	115 VAC XFR BUS 2	108	0	0	1	1
313	B 90	FLEET IDENT LSB + 2	499	1	15	3	3
317	B 94	A/C NUMBER LSB +	499	1	16	3	3
127	A17	SPOILER POSITION NO. 3	27	0	0	12	1
128	A17	SPOILER POSITION NO. 3	91	0	0	12	1
129	A17	SPOILER POSITION NO. 3	155	0	0	12	1
130	A17	SPOILER POSITION NO. 3	219	0	0	12	1
131	A17	SPOILER POSITION NO. 3	283	0	0	12	1
132	A17	SPOILER POSITION NO. 3	347	0	0	12	1
133	A17	SPOILER POSITION NO. 3	411	0	0	12	1
134	A17	SPOILER POSITION NO. 3	475	0	0	12	1
318	B 95	A/C NUMBER LSB + 3	499	1	16	4	4
61	A 7	ELEV POS-L	4	0	0	12	1
319	B 96	A/C NUMBER LSB +	499	1	16	5	5
213	B 11	LT MAIN GEAR AIR/GND	5	0	0	2	2
217	B 12	RT MAIN GEAR AIR/GND	5	0	0	1	1
320	B 97	A/C NUMBER LSB +	499	1	16	6	6
37	A 4	CONTROL COL POSN - CAPT	6	0	0	12	2
321	B 98	A/C NUMBER LSB +	499	1	16	7	7
257	B 37	AIR/GROUND	7	0	0	2	2
345	B105	NOSE GEAR AIR/GND	7	0	0	1	1
17	A 2	PITCH TRIM POSITION	8	0	0	12	1
69	A 8	ELEV POS-R	10	0	0	12	1
135	A18	SPOILER POSITION NO. 10	32	0	0	12	1
136	A18	SPOILER POSITION NO. 10	96	0	0	12	1
137	A18	SPOILER POSITION NO. 10	160	0	0	12	1
138	A18	SPOILER POSITION NO. 10	224	0	0	12	1
139	A18	SPOILER POSITION NO. 10	288	0	0	12	1
140	A18	SPOILER POSITION NO. 10	352	0	0	12	1
141	A18	SPOILER POSITION NO. 10	416	0	0	12	1
142	A18	SPOILER POSITION NO. 10	480	0	0	12	1
119	A16	CONTROL COL POSN - F/O	12	0	0	12	2
93	A13	LONGITUDINAL ACCELERATION	13	0	0	12	3
188	B 5	VHF CENTER KEYING	16	0	0	1	1
77	A10	AIL POS-L	17	0	0	12	1
172	B 3	VHF LT KEYING	18	0	0	1	1
180	B 4	VHF RT KEYING	18	0	0	2	2
45	A 5	CONTROL WHEEL POSN - CAPT	19	0	0	12	3
194	B 7	HF-LT KEYING	19	0	0	1	1
202	B 8	HF-RT KEYING	19	0	0	2	2
325	B101	SAT COMM #1 KEYING	20	0	0	1	1
333	B102	SAT COMM #2 KEYING	20	0	0	2	2
21	A 3	LATERAL ACCELERATION	21	0	0	12	3
293	B 71	ROLL TRIM CMD R WING DOWN	22	0	0	1	1
295	B 72	ROLL TRIM CMD L WING DOWN	22	0	0	2	2
85	A11	AIL POS-R	23	0	0	12	1
109	A14	CONTROL WHEEL POSN - F/O	25	0	0	12	3
225	B 14	GROUND SPOILER/SPD BRK	25	0	0	1	1
360	B112	GEAR LEVER DOWN	25	0	0	2	2
2	A 1	VERTICAL ACCELERATION	34	0	0	12	1
143	A20	RUD POS	37	0	0	12	1
53	A 6	RUD PEDAL POS	39	0	0	12	2
243	B 28	TRIM DOWN - A/P	39	0	0	1	1
160	A35	RUD PEDAL FORCE	40	0	0	12	1
94	A13	LONGITUDINAL ACCELERATION	45	0	0	12	3
22	A 3	LATERAL ACCELERATION	53	0	0	12	3
155	A25	BRAKE PRESS MAIN-LT	58	0	0	12	3
358	B111	GEAR LEVER UP	59	0	0	2	2
288	B 66	SPARE SERIES DISCRETE #B66	61	1	0	1	1
289	B 67	SPARE SERIES DISCRETE #B67	61	2	0	1	1
290	B 67	SPARE SERIES DISCRETE #B67	61	4	0	1	1
3	A 1	VERTICAL ACCELERATION	66	0	0	12	1
62	A 7	ELEV POS-L	68	0	0	12	1
38	A 4	CONTROL COL POSN - CAPT	70	0	0	12	2
117	A15	SPD BRAKE HANDLE POSN	72	0	0	12	1
70	A 8	ELEV POS-R	74	0	0	12	1
120	A16	CONTROL COL POSN - F/O	76	0	0	12	2
234	B 20	NOSE GEAR DOWN	76	0	0	1	1
95	A13	LONGITUDINAL ACCELERATION	77	0	0	12	3
210	B 9	RT GEAR DOWN	77	0	0	1	1
232	B 19	LT GEAR DOWN	77	0	0	2	2
78	A10	AIL POS-L	81	0	0	12	1
173	B 3	VHF LT KEYING	82	0	0	1	1
181	B 4	VHF RT KEYING	82	0	0	2	2
46	A 5	CONTROL WHEEL POSN - CAPT	83	0	0	12	3
195	B 7	HF-LT KEYING	83	0	0	1	1
203	B 8	HF-RT KEYING	83	0	0	2	2
326	B101	SAT COMM #1 KEYING	84	0	0	1	1
334	B102	SAT COMM #2 KEYING	84	0	0	2	2
23	A 3	LATERAL ACCELERATION	85	0	0	12	3
221	B 13	AUTO BRAKE APPLIED	86	0	0	1	1
86	A11	AIL POS-R	87	0	0	12	1
110	A14	CONTROL WHEEL POSN - F/O	89	0	0	12	3
242	B 27	28 VDC HOT BAT BUS	90	0	0	1	1
4	A 1	VERTICAL ACCELERATION	98	0	0	12	1
280	B 62	STBY RUD VALVE POS	99	0	0	2	2
297	B 73	YAW TRIM CMD LT	100	0	0	2	2
299	B 74	YAW TRIM CMD RT	100	0	0	1	1
144	A20	RUD POS	101	0	0	12	1
54	A 6	RUD PEDAL POS	103	0	0	12	2
161	A35	RUD PEDAL FORCE	104	0	0	12	1
96	A13	LONGITUDINAL ACCELERATION	109	0	0	12	3
231	B 18	SPARE SHUNT DISCRETE #B18	114	1	0	2	2
366	B116	SPARE SHUNT DISCRETE #B116	116	2	0	2	2
368	B118	SPARE SHUNT DISCRETE #B118	116	1	0	2	2
24	A 3	LATERAL ACCELERATION	117	0	0	12	3
151	A23	BRAKE PRESS ALT-LT	122	0	0	12	3
323	B100	MAIN/ALT BRAKE SELECT	122	0	0	2	2
5	A 1	VERTICAL ACCELERATION	130	0	0	12	1
63	A 7	ELEV POS-L	132	0	0	12	1
214	B 11	LT MAIN GEAR AIR/GND	133	0	0	2	2
218	B 12	RT MAIN GEAR AIR/GND	133	0	0	1	1
39	A 4	CONTROL COL POSN - CAPT	134	0	0	12	2
258	B 37	AIR/GROUND	135	0	0	2	2
346	B105	NOSE GEAR AIR/GND	135	0	0	1	1
18	A 2	PITCH TRIM POSITION	136	0	0	12	1
236	B 21	TRIM UP MANUAL	137	0	0	2	2
253	B 34	TRIM DOWN MANUAL	137	0	0	1	1
71	A 8	ELEV POS-R	138	0	0	12	1
121	A16	CONTROL COL POSN - F/O	140	0	0	12	2
97	A13	LONGITUDINAL ACCELERATION	141	0	0	12	3
189	B 5	VHF CENTER KEYING	144	0	0	1	1
79	A10	AIL POS-L	145	0	0	12	1
174	B 3	VHF LT KEYING	146	0	0	1	1
182	B 4	VHF RT KEYING	146	0	0	2	2
47	A 5	CONTROL WHEEL POSN - CAPT	147	0	0	12	3
196	B 7	HF-LT KEYING	147	0	0	1	1
204	B 8	HF-RT KEYING	147	0	0	2	2
327	B101	SAT COMM #1 KEYING	148	0	0	1	1
335	B102	SAT COMM #2 KEYING	148	0	0	2	2
25	A 3	LATERAL ACCELERATION	149	0	0	12	3
87	A11	AIL POS-R	151	0	0	12	1
111	A14	CONTROL WHEEL POSN - F/O	153	0	0	12	3
303	B 77	SMOKE AFT CARGO	156	0	0	1	1
6	A 1	VERTICAL ACCELERATION	162	0	0	12	1
145	A20	RUD POS	165	0	0	12	1
55	A 6	RUD PEDAL POS	167	0	0	12	2
